x	y	random
0.01	-0.35	true
0.017071066	-0.35707107	true
0.017071066	-0.36707106	true
0.024142135	-0.37414214	true
0.031213202	-0.3812132	true
0.03828427	-0.38828427	true
0.03828427	-0.39828426	true
0.031213202	-0.40535533	true
0.024142133	-0.4124264	true
0.014142133	-0.4124264	true
0.007071066	-0.40535533	true
0.007071067	-0.39535534	true
0.0070710685	-0.38535532	true
0.014142137	-0.37828428	true
0.021213206	-0.3712132	true
0.028284274	-0.36414212	true
0.035355344	-0.35707107	true
0.045355342	-0.35707107	true
0.05242641	-0.36414215	true
0.059497476	-0.3712132	true
0.06656854	-0.37828428	true
0.07363961	-0.38535535	true
0.08363961	-0.38535535	true
0.093639605	-0.38535535	true
0.10363961	-0.38535535	true
0.11363961	-0.38535535	true
0.123639606	-0.38535535	true
0.13071068	-0.37828428	true
0.13778174	-0.37121323	true
0.13778174	-0.3612132	true
0.13778175	-0.35121322	true
0.13778175	-0.34121323	true
0.13778175	-0.3312132	true
0.13778175	-0.32121322	true
0.13071069	-0.31414214	true
0.12363962	-0.3070711	true
0.11656855	-0.3	true
0.10949748	-0.29292893	true
0.10242642	-0.2858579	true
0.09535535	-0.2787868	true
0.08535535	-0.2787868	true
0.078284286	-0.27171573	true
0.071213216	-0.26464468	true
0.071213216	-0.25464466	true
0.071213216	-0.24464467	true
0.07121322	-0.23464467	true
0.07121322	-0.22464468	true
0.07121322	-0.21464467	true
0.07121322	-0.20464467	true
0.07121322	-0.19464467	true
0.07828429	-0.18757361	true
0.08828429	-0.18757361	true
0.09535536	-0.19464467	true
0.102426425	-0.20171575	true
0.109497495	-0.20878682	true
0.11656856	-0.21585788	true
0.12363963	-0.22292896	true
0.13071069	-0.23000002	true
0.13778175	-0.2370711	true
0.13778175	-0.24707109	true
0.13071069	-0.25414217	true
0.12363962	-0.2612132	true
0.12363961	-0.27121323	true
0.11656854	-0.27828428	true
0.10949747	-0.28535536	true
0.099497475	-0.28535536	true
