x	y
0.01	-0.35
0.02	-0.35
0.03	-0.35
0.04	-0.35
0.049999997	-0.35
0.06	-0.35
0.07	-0.35
0.07707106	-0.34292892
0.08414213	-0.33585787
0.09414213	-0.33585787
0.10414213	-0.33585787
0.09707107	-0.34292892
0.08707107	-0.34292892
0.08	-0.33585787
0.07292893	-0.3287868
0.065857865	-0.3217157
0.0587868	-0.31464466
0.048786797	-0.31464466
0.0387868	-0.31464463
0.028786799	-0.31464463
0.0187868	-0.31464463
0.011715731	-0.3217157
0.0017157305	-0.3217157
-0.008284269	-0.3217157
-0.018284269	-0.3217157
-0.028284268	-0.3217157
-0.03828427	-0.3217157
-0.04828427	-0.3217157
-0.058284268	-0.3217157
-0.068284266	-0.3217157
-0.07828427	-0.3217157
-0.08828427	-0.3217157
-0.09828427	-0.3217157
-0.10535534	-0.31464463
-0.1124264	-0.30757356
-0.1124264	-0.29757357
-0.1124264	-0.28757358
-0.10535533	-0.2805025
-0.09828426	-0.27343145
-0.09121319	-0.26636037
-0.084142126	-0.2592893
-0.077071056	-0.25221825
-0.069999985	-0.24514717
-0.062928915	-0.2380761
-0.05585785	-0.23100504
-0.048786778	-0.22393396
-0.04171571	-0.2168629
-0.03464464	-0.20979184
-0.03464464	-0.19979183
-0.03464464	-0.18979184
-0.041715708	-0.18272077
-0.041715704	-0.17272078
-0.041715704	-0.16272077
-0.041715704	-0.15272076
-0.0417157	-0.14272077
-0.0417157	-0.13272077
-0.0417157	-0.12272077
-0.041715696	-0.11272077
-0.041715696	-0.10272077
-0.041715696	-0.09272077
-0.041715693	-0.08272077
-0.041715693	-0.07272077
-0.04171569	-0.06272077
-0.04171569	-0.05272077
-0.04171569	-0.042720772
-0.041715685	-0.03272077
-0.041715685	-0.022720773
-0.041715685	-0.012720772
-0.04171568	-0.0027207725
-0.04878675	0.0043502958
-0.055857815	0.011421365
-0.055857815	0.021421364
-0.055857815	0.031421363
-0.05585781	0.041421365
-0.05585781	0.051421363
-0.05585781	0.061421365
-0.055857807	0.07142136
-0.055857807	0.08142136
-0.055857807	0.091421366
-0.06292887	0.09849243
-0.06999994	0.1055635
-0.077071	0.11263457
-0.084142074	0.11970564
-0.09121314	0.12677671
-0.09828421	0.13384777
-0.09828421	0.14384778
-0.09121314	0.15091884
-0.08121314	0.15091884
-0.07121314	0.15091884
-0.06414207	0.14384776
-0.054142073	0.14384776
-0.04414207	0.14384776
-0.037071005	0.15091883
-0.029999934	0.15798989
-0.022928866	0.16506097
-0.015857797	0.17213203
-0.0058577973	0.17213203
