x	y	random
0.0070710676	-0.35707107	true
0.017071066	-0.35707107	true
0.027071066	-0.35707107	true
0.034142133	-0.36414212	true
0.044142134	-0.36414212	true
0.054142132	-0.36414212	true
0.06414213	-0.36414212	true
0.074142136	-0.36414212	true
0.08414213	-0.36414212	true
0.09414213	-0.36414212	true
0.10414213	-0.36414212	true
0.09707107	-0.3712132	true
0.089999996	-0.37828428	true
0.082928926	-0.38535532	true
0.07292893	-0.38535532	true
0.065857865	-0.37828428	true
0.058786795	-0.3712132	true
0.0587868	-0.3612132	true
0.065857865	-0.35414213	true
0.072928935	-0.34707105	true
0.080000006	-0.34	true
0.08707107	-0.33292893	true
0.09414214	-0.32585785	true
0.10121321	-0.3187868	true
0.10828428	-0.31171572	true
0.11535534	-0.30464467	true
0.12242641	-0.2975736	true
0.12949748	-0.29050252	true
0.13656855	-0.28343147	true
0.14363962	-0.2763604	true
0.14363962	-0.2663604	true
0.15071069	-0.25928932	true
0.15778176	-0.25221828	true
0.16485283	-0.2451472	true
0.17192389	-0.23807614	true
0.1719239	-0.22807613	true
0.1719239	-0.21807612	true
0.1719239	-0.20807613	true
0.16485283	-0.20100506	true
0.15778176	-0.193934	true
0.1507107	-0.18686293	true
0.14363964	-0.17979185	true
0.13363963	-0.17979185	true
0.123639636	-0.17979185	true
0.11363964	-0.17979185	true
0.10363963	-0.17979185	true
0.093639635	-0.17979185	true
0.08363964	-0.17979185	true
0.07363964	-0.17979185	true
0.06363963	-0.17979185	true
0.053639635	-0.17979185	true
0.043639638	-0.17979185	true
0.036568567	-0.18686292	true
0.0294975	-0.19393398	true
0.029497499	-0.20393398	true
0.029497499	-0.21393397	true
0.029497499	-0.22393398	true
0.029497499	-0.23393399	true
0.029497497	-0.24393398	true
0.036568563	-0.25100505	true
0.043639634	-0.2580761	true
0.0507107	-0.26514718	true
0.057781767	-0.27221826	true
0.06778177	-0.27221826	true
0.07778177	-0.27221826	true
0.087781765	-0.27221826	true
0.094852835	-0.26514718	true
0.101923905	-0.2580761	true
0.101923905	-0.24807611	true
0.1019239	-0.23807612	true
0.10899497	-0.23100504	true
0.11606604	-0.22393398	true
0.1231371	-0.21686292	true
0.13020816	-0.20979184	true
0.13727924	-0.20272078	true
0.1443503	-0.19564971	true
0.15142137	-0.18857864	true
0.15849245	-0.18150757	true
0.16556351	-0.17443651	true
0.17556351	-0.17443651	true
0.1855635	-0.17443651	true
0.19556351	-0.17443651	true
0.2055635	-0.17443651	true
0.2155635	-0.17443651	true
0.22556351	-0.17443651	true
0.23263457	-0.18150757	true
0.23970564	-0.18857864	true
0.24677671	-0.19564971	true
0.25384778	-0.20272078	true
0.26091886	-0.20979184	true
0.2679899	-0.21686292	true
0.27798992	-0.21686292	true
0.2879899	-0.21686292	true
0.2879899	-0.2268629	true
0.2879899	-0.23686291	true
0.2879899	-0.24686292	true
0.295061	-0.23979184	true
0.295061	-0.22979185	true
0.30213204	-0.22272077	true
0.30213204	-0.23272078	true
0.29506096	-0.23979184	true
0.2879899	-0.24686292	true
0.28091884	-0.25393397	true
0.27091885	-0.25393397	true
0.26091886	-0.25393397	true
0.25091884	-0.25393397	true
0.24091884	-0.25393397	true
0.23091884	-0.25393397	true
0.22091885	-0.25393397	true
0.21091884	-0.25393397	true
0.20384778	-0.26100504	true
0.1967767	-0.2680761	true
0.18970564	-0.27514717	true
0.17970563	-0.27514717	true
0.16970564	-0.27514717	true
0.15970564	-0.27514717	true
0.14970563	-0.27514717	true
0.13970564	-0.27514717	true
0.12970564	-0.27514717	true
0.11970564	-0.27514717	true
0.10970564	-0.27514717	true
0.10263457	-0.2680761	true
0.09263457	-0.2680761	true
0.082634576	-0.2680761	true
0.075563505	-0.27514717	true
0.068492435	-0.28221822	true
0.06142137	-0.2892893	true
0.0543503	-0.29636037	true
0.04727923	-0.30343142	true
0.040208165	-0.3105025	true
0.033137094	-0.31757358	true
0.026066028	-0.32464463	true
0.01899496	-0.3317157	true
0.01899496	-0.3417157	true
0.026066028	-0.34878677	true
0.036066025	-0.34878677	true
0.043137096	-0.35585785	true
0.050208163	-0.3629289	true
0.043137092	-0.36999997	true
0.036066025	-0.37707105	true
0.026066026	-0.37707105	true
0.016066026	-0.37707102	true
0.006066026	-0.37707102	true
-0.0010050408	-0.36999997	true
-0.008076108	-0.3629289	true
-0.015147175	-0.35585782	true
-0.022218242	-0.34878677	true
-0.03221824	-0.34878677	true
-0.03928931	-0.35585782	true
-0.046360377	-0.3629289	true
-0.05636038	-0.3629289	true
-0.06636038	-0.3629289	true
-0.076360375	-0.3629289	true
-0.08636038	-0.3629289	true
-0.09636038	-0.3629289	true
-0.10343144	-0.35585782	true
-0.10343144	-0.34585783	true
-0.10343144	-0.33585784	true
-0.09636037	-0.32878676	true
-0.08636037	-0.32878676	true
-0.0792893	-0.32171568	true
-0.07221823	-0.31464463	true
-0.062218234	-0.31464463	true
-0.052218236	-0.31464463	true
-0.04514717	-0.3217157	true
-0.038076103	-0.32878676	true
-0.028076103	-0.32878676	true
-0.018076103	-0.32878676	true
-0.008076103	-0.32878676	true
0.0019238966	-0.32878676	true
0.011923896	-0.3287868	true
0.021923896	-0.3287868	true
0.031923898	-0.3287868	true
0.041923895	-0.3287868	true
0.051923897	-0.3287868	true
