x	y	random
0.01	-0.35	true
0.02	-0.35	true
0.03	-0.35	true
0.04	-0.35	true
0.049999997	-0.35	true
0.06	-0.35	true
0.07	-0.35	true
0.08	-0.35	true
0.08707107	-0.34292892	true
0.09414213	-0.33585787	true
0.1012132	-0.3287868	true
0.1012132	-0.3187868	true
0.1012132	-0.30878678	true
0.108284265	-0.30171573	true
0.11828427	-0.30171573	true
0.12828426	-0.30171573	true
0.13535534	-0.29464465	true
0.13535534	-0.28464466	true
0.1424264	-0.2775736	true
0.1524264	-0.2775736	true
0.1624264	-0.2775736	true
0.1724264	-0.2775736	true
0.18242641	-0.2775736	true
0.18949747	-0.2705025	true
0.19656853	-0.26343146	true
0.2036396	-0.25636038	true
0.21071067	-0.24928932	true
0.21071067	-0.23928931	true
0.21071067	-0.22928932	true
0.2036396	-0.22221825	true
0.19656853	-0.21514718	true
0.18656853	-0.21514718	true
0.17656854	-0.21514718	true
0.16656853	-0.21514718	true
0.15656853	-0.21514718	true
0.14656854	-0.21514718	true
0.13656853	-0.21514718	true
0.12656854	-0.21514718	true
0.11949747	-0.20807612	true
0.1124264	-0.20100506	true
0.1024264	-0.20100506	true
0.0924264	-0.20100506	true
0.0824264	-0.20100506	true
0.0724264	-0.20100506	true
0.06535533	-0.193934	true
0.06535533	-0.18393399	true
0.06535533	-0.173934	true
0.06535533	-0.16393399	true
0.06535533	-0.15393399	true
0.06535533	-0.143934	true
0.06535533	-0.13393399	true
0.06535533	-0.12393399	true
0.06535533	-0.113933995	true
0.06535533	-0.10393399	true
0.06535533	-0.09393399	true
0.05828426	-0.08686293	true
0.05121319	-0.07979186	true
0.044142123	-0.07272079	true
0.037071053	-0.065649725	true
0.029999986	-0.05857866	true
0.019999987	-0.05857866	true
0.009999987	-0.05857866	true
-1.2738432E-8	-0.05857866	true
-0.0070710797	-0.065649725	true
-0.014142146	-0.072720796	true
-0.021213213	-0.079791866	true
-0.02828428	-0.08686294	true
-0.03535535	-0.093934	true
-0.042426415	-0.10100507	true
-0.04949748	-0.10807614	true
-0.056568548	-0.11514721	true
-0.06363961	-0.12221827	true
-0.07071068	-0.12928934	true
-0.07778175	-0.1363604	true
-0.08778175	-0.1363604	true
-0.09778175	-0.1363604	true
-0.107781745	-0.13636042	true
-0.11778175	-0.13636042	true
-0.12778175	-0.13636042	true
-0.13778175	-0.13636042	true
-0.14778174	-0.13636042	true
-0.15485282	-0.12928934	true
-0.16192389	-0.12221828	true
-0.16192389	-0.11221828	true
-0.16192389	-0.102218285	true
-0.16192389	-0.09221829	true
-0.16192389	-0.08221828	true
-0.16192389	-0.072218284	true
-0.16899495	-0.06514722	true
-0.17606603	-0.05807615	true
-0.18313709	-0.051005084	true
-0.19020815	-0.043934017	true
-0.19727923	-0.03686295	true
-0.2043503	-0.029791882	true
-0.21142136	-0.022720816	true
-0.21849243	-0.015649747	true
-0.2255635	-0.00857868	true
-0.23263456	-0.0015076133	true
-0.23970564	0.005563454	true
-0.24970563	0.005563453	true
-0.25970563	0.0055634524	true
-0.26970562	0.0055634514	true
-0.2767767	-0.0015076172	true
-0.28384778	-0.008578686	true
-0.29384777	-0.008578686	true
-0.30384776	-0.008578687	true
-0.31091884	-0.0015076201	true
-0.32091883	-0.001507621	true
-0.33091885	-0.0015076218	true
-0.34091884	-0.0015076228	true
-0.35091883	-0.0015076236	true
-0.3579899	-0.008578692	true
-0.3679899	-0.008578693	true
-0.3779899	-0.0085786935	true
-0.3879899	-0.008578694	true
-0.3979899	-0.008578695	true
-0.4079899	-0.008578696	true
-0.41506097	-0.0015076293	true
-0.42506096	-0.0015076301	true
-0.43213204	-0.008578698	true
-0.4392031	-0.015649768	true
-0.44627416	-0.022720836	true
-0.45627418	-0.022720836	true
-0.46334523	-0.029791905	true
-0.46334523	-0.039791904	true
-0.46334523	-0.049791906	true
-0.46334523	-0.059791904	true
-0.4704163	-0.052720837	true
-0.4704163	-0.042720836	true
-0.46334523	-0.03564977	true
-0.45334524	-0.03564977	true
-0.44334522	-0.03564977	true
-0.43627417	-0.042720836	true
-0.43627417	-0.052720837	true
-0.44334525	-0.059791904	true
-0.4504163	-0.06686297	true
-0.4504163	-0.07686297	true
-0.4504163	-0.086862974	true
-0.4504163	-0.09686297	true
-0.4504163	-0.10686297	true
-0.4504163	-0.11686297	true
-0.4504163	-0.12686297	true
-0.4504163	-0.13686296	true
-0.4504163	-0.14686297	true
-0.4504163	-0.15686297	true
-0.44334525	-0.16393404	true
-0.43334523	-0.16393404	true
-0.42334524	-0.16393404	true
-0.41334525	-0.16393404	true
-0.40334523	-0.16393404	true
-0.39334524	-0.16393404	true
-0.38334525	-0.16393404	true
-0.37627417	-0.1710051	true
-0.3692031	-0.17807618	true
-0.36213204	-0.18514724	true
-0.35506096	-0.1922183	true
-0.35506096	-0.20221831	true
-0.35506096	-0.21221831	true
-0.34798992	-0.21928938	true
-0.34091884	-0.22636044	true
-0.34091884	-0.23636045	true
-0.34798992	-0.24343151	true
-0.3579899	-0.24343151	true
-0.3679899	-0.24343151	true
-0.37798992	-0.24343151	true
-0.3879899	-0.24343151	true
-0.39506096	-0.23636045	true
-0.40213203	-0.22928937	true
-0.4092031	-0.2222183	true
-0.41627416	-0.21514723	true
-0.42334524	-0.20807616	true
-0.43041632	-0.2010051	true
-0.43748736	-0.19393402	true
-0.44455844	-0.18686296	true
-0.44455844	-0.17686296	true
-0.44455844	-0.16686296	true
-0.44455844	-0.15686296	true
-0.44455844	-0.14686295	true
-0.44455844	-0.13686296	true
