x	y	random
0.01	-0.35	true
0.017071066	-0.34292892	true
0.024142135	-0.33585787	true
0.031213202	-0.3287868	true
0.03828427	-0.3217157	true
0.04535534	-0.31464466	true
0.052426405	-0.3075736	true
0.059497472	-0.3005025	true
0.06656854	-0.29343146	true
0.06656854	-0.28343144	true
0.059497472	-0.2763604	true
0.0524264	-0.2692893	true
0.045355335	-0.26221824	true
0.03828427	-0.2551472	true
0.031213198	-0.24807611	true
0.024142131	-0.24100505	true
0.017071063	-0.23393399	true
0.009999994	-0.2268629	true
0.0029289264	-0.21979184	true
-0.004142142	-0.21272078	true
-0.01121321	-0.20564972	true
-0.018284278	-0.19857864	true
-0.025355347	-0.19150758	true
-0.025355347	-0.18150757	true
-0.032426413	-0.17443651	true
-0.039497484	-0.16736545	true
-0.039497484	-0.15736544	true
-0.04656855	-0.15029438	true
-0.05656855	-0.15029438	true
-0.06656855	-0.15029438	true
-0.07656855	-0.15029438	true
-0.08656855	-0.15029438	true
-0.09656855	-0.15029438	true
-0.10363962	-0.14322332	true
-0.11071069	-0.13615225	true
-0.11071069	-0.12615225	true
-0.11071069	-0.11615225	true
-0.11071069	-0.10615225	true
-0.11071069	-0.096152246	true
-0.10363962	-0.08908118	true
-0.096568555	-0.08201011	true
-0.089497484	-0.07493904	true
-0.089497484	-0.064939044	true
-0.089497484	-0.054939047	true
-0.089497484	-0.044939045	true
-0.089497484	-0.034939047	true
-0.096568555	-0.027867978	true
-0.103639625	-0.020796912	true
-0.11363962	-0.020796912	true
-0.12071069	-0.02786798	true
-0.12778176	-0.03493905	true
-0.13485283	-0.042010117	true
-0.14192389	-0.049081184	true
-0.14899495	-0.056152254	true
-0.15606603	-0.063223325	true
-0.15606603	-0.07322332	true
-0.15606602	-0.08322332	true
-0.15606602	-0.09322332	true
-0.15606602	-0.103223324	true
-0.15606602	-0.11322332	true
-0.15606602	-0.12322332	true
-0.15606602	-0.13322333	true
-0.15606602	-0.14322332	true
-0.15606602	-0.15322332	true
-0.15606602	-0.16322333	true
-0.15606602	-0.17322332	true
-0.15606602	-0.18322332	true
-0.156066	-0.19322331	true
-0.156066	-0.20322332	true
-0.14899494	-0.21029438	true
-0.14192387	-0.21736546	true
-0.1348528	-0.22443652	true
-0.12778173	-0.23150758	true
-0.12071066	-0.23857865	true
