x	y	random
0.0070710676	-0.35707107	true
0.014142135	-0.36414212	true
0.021213202	-0.3712132	true
0.02828427	-0.37828428	true
0.035355337	-0.38535532	true
0.042426404	-0.3924264	true
0.052426405	-0.3924264	true
0.062426403	-0.3924264	true
0.0724264	-0.3924264	true
0.08242641	-0.3924264	true
0.092426404	-0.3924264	true
0.1024264	-0.3924264	true
0.1124264	-0.3924264	true
0.122426406	-0.3924264	true
0.1324264	-0.3924264	true
0.1424264	-0.3924264	true
0.1524264	-0.3924264	true
0.1624264	-0.3924264	true
0.16949748	-0.39949748	true
0.17656854	-0.40656853	true
0.1836396	-0.4136396	true
0.19071068	-0.42071068	true
0.20071067	-0.42071068	true
0.21071067	-0.42071068	true
0.22071066	-0.42071068	true
0.22778174	-0.4136396	true
0.2348528	-0.40656853	true
0.24192387	-0.39949748	true
0.24899495	-0.3924264	true
0.24899495	-0.3824264	true
0.256066	-0.37535533	true
0.26313707	-0.36828426	true
0.27020815	-0.3612132	true
0.2772792	-0.35414213	true
0.28435028	-0.34707105	true
0.29142135	-0.34	true
0.30142134	-0.34	true
0.31142133	-0.34	true
0.32142136	-0.34	true
0.3284924	-0.33292893	true
0.33556348	-0.32585785	true
0.34263456	-0.3187868	true
0.3497056	-0.31171572	true
0.3497056	-0.30171573	true
0.3497056	-0.2917157	true
0.35677668	-0.28464466	true
0.36384776	-0.2775736	true
0.3709188	-0.2705025	true
0.3779899	-0.26343146	true
0.38506097	-0.25636038	true
0.38506097	-0.24636039	true
0.38506097	-0.23636039	true
0.38506094	-0.22636038	true
0.3779899	-0.21928932	true
0.3709188	-0.21221825	true
0.36384773	-0.20514718	true
0.35384774	-0.20514718	true
0.3467767	-0.21221825	true
0.33970562	-0.21928932	true
0.33970562	-0.22928932	true
0.33970562	-0.23928931	true
0.3467767	-0.24636039	true
0.3467767	-0.25636038	true
0.3467767	-0.26636037	true
0.3467767	-0.2763604	true
0.3467767	-0.28636038	true
0.35384777	-0.29343146	true
0.35384777	-0.30343145	true
0.3467767	-0.31050253	true
0.33970562	-0.31757358	true
0.33263457	-0.32464465	true
0.32263455	-0.32464465	true
0.31263456	-0.32464465	true
0.30263457	-0.32464465	true
0.29263455	-0.32464465	true
0.28263456	-0.32464465	true
0.27556348	-0.33171573	true
0.26849243	-0.3387868	true
0.26142135	-0.34585786	true
0.2543503	-0.35292894	true
0.24727923	-0.36	true
0.23727922	-0.36	true
0.22727923	-0.36	true
0.21727923	-0.36	true
0.20727922	-0.36	true
0.20020816	-0.35292894	true
0.19020815	-0.35292894	true
0.18313709	-0.3458579	true
0.17606603	-0.3387868	true
0.16606602	-0.3387868	true
0.15606603	-0.3387868	true
0.14606602	-0.3387868	true
0.13606602	-0.3387868	true
0.12606603	-0.3387868	true
0.11606602	-0.3387868	true
0.10899495	-0.33171573	true
0.10192389	-0.32464468	true
0.091923885	-0.32464468	true
0.08192389	-0.32464468	true
0.07192389	-0.32464468	true
0.06485282	-0.33171576	true
0.057781756	-0.3387868	true
0.05071069	-0.3458579	true
0.040710688	-0.3458579	true
0.03363962	-0.3387868	true
0.026568552	-0.33171576	true
0.019497484	-0.32464468	true
0.012426415	-0.3175736	true
0.0053553474	-0.31050256	true
-0.0017157209	-0.30343148	true
-0.008786789	-0.2963604	true
-0.015857857	-0.28928936	true
-0.022928925	-0.28221828	true
-0.032928925	-0.28221828	true
-0.042928927	-0.28221828	true
-0.052928925	-0.28221828	true
-0.05999999	-0.27514723	false
-0.06707106	-0.26807615	false
-0.07707106	-0.26807615	false
-0.08707106	-0.26807615	false
-0.09414213	-0.26100507	false
-0.101213194	-0.25393403	false
-0.108284265	-0.24686295	false
-0.115355335	-0.23979189	false
-0.115355335	-0.22979188	false
-0.115355335	-0.21979189	false
-0.115355335	-0.20979188	false
-0.115355335	-0.19979188	false
-0.115355335	-0.18979189	false
-0.122426406	-0.18272081	false
-0.122426406	-0.17272082	false
-0.122426406	-0.16272081	false
-0.12949747	-0.15564975	false
-0.12949747	-0.14564975	false
-0.12949747	-0.13564976	false
-0.12949747	-0.12564975	false
-0.12949747	-0.11564975	false
-0.12949747	-0.105649754	false
-0.12949747	-0.09564975	false
-0.13656855	-0.088578686	false
-0.14363961	-0.081507616	false
-0.15071067	-0.07443655	false
-0.14363961	-0.06736548	false
-0.13656855	-0.060294416	false
-0.12949748	-0.053223345	false
-0.122426406	-0.04615228	false
-0.11535534	-0.039081212	false
-0.10828427	-0.032010145	false
-0.10121321	-0.024939075	false
-0.09414214	-0.017868008	false
-0.08707107	-0.01079694	false
-0.07707107	-0.01079694	false
-0.08414214	-0.0037258726	false
-0.08414214	0.006274127	false
-0.091213204	0.013345195	false
-0.098284274	0.020416262	false
-0.098284274	0.030416261	false
-0.098284274	0.040416263	false
-0.098284274	0.05041626	false
-0.105355345	0.057487328	false
-0.098284274	0.064558394	false
-0.091213204	0.071629465	false
-0.081213206	0.071629465	false
-0.07121321	0.071629465	false
-0.06414214	0.064558394	false
-0.05707107	0.057487328	false
-0.050000004	0.050416257	false
-0.042928938	0.057487324	false
-0.03585787	0.064558394	false
-0.0287868	0.07162946	false
-0.021715734	0.07870053	false
-0.014644666	0.0857716	false
-0.014644666	0.095771596	false
-0.0075735976	0.10284266	false
-0.014644666	0.10991373	false
-0.021715732	0.1169848	false
-0.021715732	0.12698479	false
-0.021715732	0.1369848	false
-0.021715732	0.1469848	false
-0.021715732	0.15698479	false
