x	y
0.01	-0.35
0.02	-0.35
0.027071066	-0.34292892
0.034142133	-0.33585787
0.034142133	-0.32585785
0.034142133	-0.31585786
0.034142133	-0.30585787
0.034142133	-0.29585785
0.034142133	-0.28585786
0.034142133	-0.27585787
0.034142133	-0.26585785
0.0412132	-0.2587868
0.0412132	-0.24878679
0.0412132	-0.23878679
0.03414213	-0.23171572
0.02414213	-0.23171572
0.017071063	-0.22464466
0.01707106	-0.21464466
0.01707106	-0.20464467
0.01707106	-0.19464466
0.024142127	-0.1875736
0.03414213	-0.1875736
0.044142127	-0.1875736
0.05414213	-0.1875736
0.061213195	-0.18050252
0.068284266	-0.17343146
0.07828426	-0.17343146
0.08828426	-0.17343146
0.09535533	-0.18050252
0.10535533	-0.18050252
0.11535533	-0.18050252
0.1224264	-0.17343146
0.12949747	-0.1663604
0.13656853	-0.15928932
0.14656854	-0.15928932
0.15656853	-0.15928932
0.16656853	-0.15928932
0.17656854	-0.15928932
0.1836396	-0.1663604
0.19363959	-0.1663604
0.20071067	-0.15928932
0.20778173	-0.15221825
0.20778173	-0.14221825
0.20778173	-0.13221826
0.2148528	-0.12514718
0.2248528	-0.12514718
0.2348528	-0.12514718
0.2448528	-0.12514718
0.25192386	-0.118076116
0.25899494	-0.11100505
0.25899494	-0.10100505
0.25899494	-0.09100505
0.25899494	-0.08100505
0.25899494	-0.071005054
0.25899494	-0.061005052
0.25899494	-0.05100505
0.25899494	-0.041005053
0.25899494	-0.031005051
0.26606598	-0.023933984
0.27313706	-0.016862916
0.28020814	-0.009791848
0.2872792	-0.0027207804
0.29435027	0.0043502874
0.30142134	0.011421355
0.31142133	0.011421355
0.3184924	0.018492423
0.3184924	0.028492423
0.3184924	0.038492423
0.3184924	0.04849242
0.3184924	0.058492422
0.32556346	0.06556349
0.33263454	0.072634555
0.33970562	0.079705626
0.34677666	0.086776696
0.34677666	0.096776694
0.33970562	0.10384776
0.3297056	0.10384776
0.3197056	0.10384776
0.31263453	0.09677669
0.31263453	0.08677669
0.3197056	0.079705626
0.3297056	0.079705626
0.33677667	0.072634555
0.34384775	0.06556349
0.3509188	0.058492426
0.35798988	0.05142136
0.36506096	0.044350293
0.37213203	0.037279226
0.37920308	0.03020816
0.37920308	0.04020816
0.37920308	0.05020816
0.37920308	0.06020816
0.372132	0.06727923
0.362132	0.06727922
0.35213202	0.06727922
0.342132	0.06727922
0.33506095	0.07435028
0.32506093	0.07435028
0.31506094	0.074350275
0.30506095	0.074350275
0.29798988	0.067279205
0.29798988	0.057279207
0.29091883	0.050208136
0.28384775	0.043137066
0.27677667	0.036065996
0.2767767	0.026065996
0.2767767	0.016065996
0.2767767	0.0060659973
0.28384775	-0.0010050682
0.29384777	-0.0010050647
0.30384776	-0.0010050612
0.31384775	-0.0010050577
0.32384777	-0.0010050542
0.33091882	0.006066016
0.3379899	0.013137086
0.34506094	0.020208158
0.35213202	0.027279226
0.3592031	0.0343503
0.35920307	0.044350296
0.35920307	0.054350298
0.35920307	0.0643503
0.352132	0.07142136
0.352132	0.08142136
0.34506094	0.08849242
0.33798987	0.09556349
0.3309188	0.10263456
0.3209188	0.10263455
0.31091878	0.10263455
0.3009188	0.10263454
0.2909188	0.102634534
0.28091878	0.102634534
0.2709188	0.10263453
0.2609188	0.10263453
0.2509188	0.10263452
0.24091879	0.10263452
0.23384772	0.09556344
0.22677666	0.08849237
0.22677666	0.07849237
0.23384774	0.07142131
0.24091882	0.06435025
0.24798988	0.05727918
0.24798988	0.047279183
0.25506097	0.04020812
0.26506096	0.040208124
0.27506095	0.040208127
0.28213203	0.0472792
0.282132	0.0572792
0.282132	0.0672792
0.28920308	0.07435027
0.28920308	0.08435027
0.282132	0.091421336
0.282132	0.101421334
0.27506092	0.1084924
