trial	subject	repetition	x	y	random
train	rat4	0	0.19414213	-0.38171571	false
train	rat4	0	0.19414213	-0.3917157	false
train	rat4	0	0.18707107	-0.39878678	false
train	rat4	0	0.17999999	-0.40585786	false
train	rat4	0	0.17	-0.40585786	false
train	rat4	0	0.16292894	-0.41292894	false
train	rat4	0	0.17292893	-0.4129289	false
train	rat4	0	0.17999999	-0.40585786	false
train	rat4	0	0.18707107	-0.4129289	false
train	rat4	0	0.18707107	-0.42292893	false
train	rat4	0	0.18707107	-0.4129289	false
train	rat4	0	0.18707107	-0.40292892	false
train	rat4	0	0.18707106	-0.39292893	false
train	rat4	0	0.19414213	-0.39999998	false
train	rat4	0	0.20414212	-0.39999998	false
train	rat4	0	0.21414213	-0.39999998	false
train	rat4	0	0.22121319	-0.3929289	false
train	rat4	0	0.22828425	-0.38585785	false
train	rat4	0	0.22828425	-0.37585783	false
train	rat4	0	0.22828425	-0.36585784	false
train	rat4	0	0.22828425	-0.35585785	false
train	rat4	0	0.22121318	-0.34878677	false
train	rat4	0	0.21414211	-0.34171572	false
train	rat4	0	0.20707104	-0.33464465	false
train	rat4	0	0.20707104	-0.32464465	false
train	rat4	0	0.20707104	-0.31464463	false
train	rat4	0	0.20707104	-0.30464464	false
train	rat4	0	0.20707102	-0.29464465	false
train	rat4	0	0.20707102	-0.28464463	false
train	rat4	0	0.21414208	-0.2775736	false
train	rat4	0	0.22414209	-0.2775736	false
train	rat4	0	0.2341421	-0.27757356	false
train	rat4	0	0.24121316	-0.2705025	false
train	rat4	0	0.24828422	-0.26343143	false
train	rat4	0	0.2553553	-0.25636035	false
train	rat4	0	0.25535527	-0.24636036	false
train	rat4	0	0.2482842	-0.2392893	false
train	rat4	0	0.24121314	-0.23221824	false
train	rat4	0	0.23414207	-0.22514717	false
train	rat4	0	0.23414207	-0.21514717	false
train	rat4	0	0.23414207	-0.20514716	false
train	rat4	0	0.227071	-0.1980761	false
train	rat4	0	0.21999992	-0.19100504	false
train	rat4	0	0.21292886	-0.18393397	false
train	rat4	0	0.21292885	-0.17393397	false
train	rat4	0	0.20585778	-0.1668629	false
train	rat4	0	0.19585778	-0.1668629	false
train	rat4	0	0.18878672	-0.17393398	false
train	rat4	0	0.18878672	-0.16393398	false
train	rat4	0	0.18878672	-0.15393399	false
train	rat4	0	0.19585778	-0.14686291	false
train	rat4	0	0.19585776	-0.1368629	false
train	rat4	0	0.19585776	-0.12686291	false
train	rat4	0	0.1887867	-0.11979184	false
train	rat4	0	0.18878669	-0.109791845	false
train	rat4	0	0.19585776	-0.102720775	false
train	rat4	0	0.20292883	-0.095649704	false
train	rat4	0	0.20292881	-0.08564971	false
train	rat4	0	0.20999989	-0.078578636	false
train	rat4	0	0.20999987	-0.06857864	false
train	rat4	0	0.20999987	-0.058578636	false
train	rat4	0	0.20999987	-0.048578635	false
train	rat4	0	0.20999987	-0.038578637	false
train	rat4	0	0.20999986	-0.028578637	false
train	rat4	0	0.21707092	-0.021507567	false
train	rat4	0	0.22707093	-0.021507563	false
train	rat4	0	0.23414199	-0.014436493	false
