x	y	angle
-0.049999963	0.19999996	2.3561945
-0.049999963	0.14999996	0.0
-0.049999963	0.099999964	0.0
-0.049999963	0.049999963	0.0
-0.049999963	-3.7252903E-8	0.0
-0.049999963	-0.050000038	0.0
-0.049999963	-0.10000004	3.1415927
-0.049999963	-0.15000004	0.0
-0.049999963	-0.20000003	0.0
-0.049999963	-0.25000003	0.0
-0.049999963	-0.30000004	0.0
-0.049999963	-0.35000005	0.0
-0.049999963	-0.40000007	0.0
-0.049999963	-0.45000008	0.0
3.7252903E-8	0.5	NA
3.7252903E-8	0.45	0.0
3.7252903E-8	0.39999998	0.0
3.7252903E-8	0.34999996	0.0
3.7252903E-8	0.29999995	2.3561945
3.7252903E-8	0.24999996	2.3561945
3.7252903E-8	0.19999996	2.3561945
3.7252903E-8	0.14999996	2.3561945
3.7252903E-8	0.099999964	0.0
3.7252903E-8	0.049999963	0.0
3.7252903E-8	-3.7252903E-8	0.0
3.7252903E-8	-0.050000038	0.0
3.7252903E-8	-0.10000004	0.0
3.7252903E-8	-0.15000004	0.0
3.7252903E-8	-0.20000003	0.0
3.7252903E-8	-0.25000003	0.0
3.7252903E-8	-0.30000004	3.1415927
3.7252903E-8	-0.35000005	0.0
3.7252903E-8	-0.40000007	0.0
3.7252903E-8	-0.45000008	0.0
0.050000038	0.5	NA
0.050000038	0.45	NA
0.050000038	0.39999998	0.0
0.050000038	0.34999996	0.0
0.050000038	0.29999995	0.0
0.050000038	0.24999996	2.3561945
0.050000038	0.19999996	2.3561945
0.050000038	0.14999996	2.3561945
0.050000038	0.099999964	2.3561945
0.050000038	0.049999963	0.0
0.050000038	-3.7252903E-8	0.0
0.050000038	-0.050000038	0.0
0.050000038	-0.10000004	0.0
0.050000038	-0.15000004	0.0
0.050000038	-0.20000003	0.0
0.050000038	-0.25000003	3.1415927
0.050000038	-0.30000004	3.1415927
0.050000038	-0.35000005	0.0
0.050000038	-0.40000007	0.0
0.050000038	-0.45000008	0.0
0.10000004	0.5	NA
0.10000004	0.45	NA
0.10000004	0.39999998	NA
0.10000004	0.34999996	0.0
0.10000004	0.29999995	0.0
0.10000004	0.24999996	0.0
0.10000004	0.19999996	3.1415927
0.10000004	0.14999996	2.3561945
0.10000004	0.099999964	2.3561945
0.10000004	0.049999963	2.3561945
0.10000004	-3.7252903E-8	2.3561945
0.10000004	-0.050000038	0.0
0.10000004	-0.10000004	0.0
0.10000004	-0.15000004	0.0
0.10000004	-0.20000003	2.3561945
0.10000004	-0.25000003	3.1415927
0.10000004	-0.30000004	3.1415927
0.10000004	-0.35000005	3.1415927
0.10000004	-0.40000007	0.0
0.10000004	-0.45000008	0.0
0.15000004	0.5	NA
0.15000004	0.45	NA
0.15000004	0.39999998	NA
0.15000004	0.34999996	NA
0.15000004	0.29999995	0.0
0.15000004	0.24999996	3.1415927
0.15000004	0.19999996	3.1415927
0.15000004	0.14999996	2.3561945
0.15000004	0.099999964	2.3561945
0.15000004	0.049999963	2.3561945
0.15000004	-3.7252903E-8	2.3561945
0.15000004	-0.050000038	2.3561945
0.15000004	-0.10000004	0.0
0.15000004	-0.15000004	2.3561945
0.15000004	-0.20000003	2.3561945
0.15000004	-0.25000003	2.3561945
0.15000004	-0.30000004	3.1415927
0.15000004	-0.35000005	0.0
0.15000004	-0.40000007	0.0
0.15000004	-0.45000008	0.0
0.20000003	0.5	NA
0.20000003	0.45	NA
0.20000003	0.39999998	NA
0.20000003	0.34999996	NA
0.20000003	0.29999995	3.1415927
0.20000003	0.24999996	3.1415927
0.20000003	0.19999996	3.1415927
0.20000003	0.14999996	3.1415927
0.20000003	0.099999964	2.3561945
0.20000003	0.049999963	2.3561945
0.20000003	-3.7252903E-8	2.3561945
0.20000003	-0.050000038	2.3561945
0.20000003	-0.10000004	2.3561945
0.20000003	-0.15000004	2.3561945
0.20000003	-0.20000003	2.3561945
0.20000003	-0.25000003	2.3561945
0.20000003	-0.30000004	0.0
0.20000003	-0.35000005	0.0
0.20000003	-0.40000007	0.0
0.20000003	-0.45000008	0.0
0.25000003	0.5	NA
0.25000003	0.45	NA
0.25000003	0.39999998	NA
0.25000003	0.34999996	NA
0.25000003	0.29999995	NA
0.25000003	0.24999996	3.1415927
0.25000003	0.19999996	3.1415927
0.25000003	0.14999996	2.3561945
0.25000003	0.099999964	2.3561945
0.25000003	0.049999963	2.3561945
0.25000003	-3.7252903E-8	2.3561945
0.25000003	-0.050000038	3.1415927
0.25000003	-0.10000004	3.1415927
0.25000003	-0.15000004	2.3561945
0.25000003	-0.20000003	2.3561945
0.25000003	-0.25000003	3.1415927
0.25000003	-0.30000004	3.1415927
0.25000003	-0.35000005	0.0
0.25000003	-0.40000007	0.0
0.25000003	-0.45000008	0.0
0.30000004	0.5	NA
0.30000004	0.45	NA
0.30000004	0.39999998	NA
0.30000004	0.34999996	NA
0.30000004	0.29999995	NA
0.30000004	0.24999996	NA
0.30000004	0.19999996	2.3561945
0.30000004	0.14999996	2.3561945
0.30000004	0.099999964	2.3561945
0.30000004	0.049999963	2.3561945
0.30000004	-3.7252903E-8	3.1415927
0.30000004	-0.050000038	3.1415927
0.30000004	-0.10000004	3.1415927
0.30000004	-0.15000004	3.1415927
0.30000004	-0.20000003	2.3561945
0.30000004	-0.25000003	3.1415927
0.30000004	-0.30000004	3.1415927
