trial	subject	repetition	x	y	random
tr	r1	0	0.01	-0.35	false
tr	r1	0	0.017071066	-0.34292892	false
tr	r1	0	0.027071066	-0.34292892	false
tr	r1	0	0.034142133	-0.33585787	false
tr	r1	0	0.044142134	-0.33585787	false
tr	r1	0	0.054142132	-0.33585787	false
tr	r1	0	0.061213203	-0.34292892	false
tr	r1	0	0.068284266	-0.35	false
tr	r1	0	0.075355336	-0.35707107	false
tr	r1	0	0.08242641	-0.36414212	false
tr	r1	0	0.08949747	-0.3712132	false
tr	r1	0	0.09656854	-0.37828428	false
tr	r1	0	0.10363961	-0.38535532	false
tr	r1	0	0.11071067	-0.3924264	false
tr	r1	0	0.11778174	-0.39949748	false
tr	r1	0	0.12485281	-0.40656853	false
tr	r1	0	0.13485281	-0.40656853	false
tr	r1	0	0.1448528	-0.40656853	false
tr	r1	0	0.15485281	-0.40656853	false
tr	r1	0	0.16192387	-0.4136396	false
tr	r1	0	0.17192388	-0.4136396	false
tr	r1	0	0.17899494	-0.42071068	false
tr	r1	0	0.18606602	-0.4136396	false
tr	r1	0	0.19313708	-0.40656853	false
tr	r1	0	0.20020814	-0.39949748	false
tr	r1	0	0.20727922	-0.3924264	false
tr	r1	0	0.2072792	-0.3824264	false
tr	r1	0	0.20020814	-0.37535533	false
tr	r1	0	0.19313708	-0.3824264	false
tr	r1	0	0.18606602	-0.38949746	false
tr	r1	0	0.17899494	-0.39656854	false
tr	r1	0	0.17192388	-0.4036396	false
tr	r1	0	0.17192388	-0.4136396	false
tr	r1	0	0.17192388	-0.4236396	false
tr	r1	0	0.16485281	-0.43071067	false
tr	r1	0	0.15778175	-0.43778175	false
tr	r1	0	0.15071067	-0.4448528	false
tr	r1	0	0.14363961	-0.45192388	false
tr	r1	0	0.14363961	-0.4419239	false
tr	r1	0	0.14363961	-0.4319239	false
tr	r1	0	0.14363961	-0.42192388	false
tr	r1	0	0.14363961	-0.4119239	false
tr	r1	0	0.14363961	-0.4019239	false
tr	r1	0	0.14363961	-0.39192387	false
tr	r1	0	0.15071067	-0.38485283	false
tr	r1	0	0.15071067	-0.3748528	false
tr	r1	0	0.15071067	-0.36485282	false
tr	r1	0	0.15071067	-0.3748528	true
tr	r1	0	0.15071067	-0.38485283	false
tr	r1	0	0.16071068	-0.38485283	false
tr	r1	0	0.17071067	-0.38485283	false
tr	r1	0	0.18071067	-0.38485283	false
tr	r1	0	0.18778174	-0.39192387	false
tr	r1	0	0.19778174	-0.39192387	false
tr	r1	0	0.2048528	-0.38485283	false
tr	r1	0	0.21485281	-0.38485283	false
tr	r1	0	0.22192387	-0.37778175	false
tr	r1	0	0.22899495	-0.37071067	false
tr	r1	0	0.23606601	-0.36363962	false
tr	r1	0	0.23606601	-0.3536396	false
tr	r1	0	0.23606601	-0.3436396	false
tr	r1	0	0.23606601	-0.33363962	false
tr	r1	0	0.23606601	-0.3236396	false
tr	r1	0	0.22899494	-0.31656855	false
tr	r1	0	0.22192387	-0.30949748	false
tr	r1	0	0.21485281	-0.3024264	false
tr	r1	0	0.20778173	-0.29535535	false
tr	r1	0	0.19778174	-0.29535535	false
tr	r1	0	0.19778174	-0.28535533	false
tr	r1	0	0.2048528	-0.27828428	false
tr	r1	0	0.21485281	-0.27828428	false
tr	r1	0	0.2248528	-0.27828428	false
tr	r1	0	0.2348528	-0.27828428	false
tr	r1	0	0.22778174	-0.2712132	false
tr	r1	0	0.22778174	-0.2612132	false
tr	r1	0	0.22778174	-0.25121322	false
tr	r1	0	0.22778174	-0.2412132	false
tr	r1	0	0.22778174	-0.23121321	false
tr	r1	0	0.22778174	-0.2212132	false
tr	r1	0	0.22778174	-0.21121322	false
tr	r1	0	0.22778174	-0.20121321	false
tr	r1	0	0.22778174	-0.1912132	false
tr	r1	0	0.22778174	-0.18121321	false
tr	r1	0	0.2348528	-0.17414214	false
tr	r1	0	0.24192387	-0.16707107	false
tr	r1	0	0.24899495	-0.16000001	false
tr	r1	0	0.25606602	-0.15292895	false
tr	r1	0	0.26313707	-0.14585787	false
tr	r1	0	0.27020815	-0.13878681	false
tr	r1	0	0.27727923	-0.13171574	false
tr	r1	0	0.28727922	-0.13171574	false
tr	r1	0	0.2972792	-0.13171574	false
tr	r1	0	0.3043503	-0.13878681	false
tr	r1	0	0.3043503	-0.1287868	false
tr	r1	0	0.31142133	-0.12171574	false
tr	r1	0	0.31142136	-0.11171574	false
tr	r1	0	0.3043503	-0.10464467	false
tr	r1	0	0.2972792	-0.09757361	false
tr	r1	0	0.29020816	-0.09050254	false
tr	r1	0	0.28313708	-0.08343147	false
tr	r1	0	0.2731371	-0.08343147	false
