x	y
0.01	-0.35
0.02	-0.35
0.03	-0.35
0.037071068	-0.34292892
0.044142134	-0.33585787
0.044142134	-0.32585785
0.0512132	-0.3187868
0.0512132	-0.30878678
0.058284268	-0.30171573
0.058284268	-0.2917157
0.0512132	-0.28464466
0.0512132	-0.27464464
0.051213197	-0.26464465
0.051213197	-0.25464466
0.051213197	-0.24464466
0.051213197	-0.23464465
0.04414213	-0.22757359
0.03414213	-0.22757359
0.027071062	-0.22050253
0.02707106	-0.21050252
0.03414213	-0.20343146
0.03414213	-0.19343145
0.03414213	-0.18343146
0.02707106	-0.17636038
0.027071059	-0.1663604
0.019999992	-0.15928932
0.009999991	-0.15928933
0.0029289233	-0.15221825
0.002928923	-0.14221826
-0.004142145	-0.13514718
-0.0041421456	-0.1251472
-0.011213214	-0.11807612
-0.011213214	-0.108076125
-0.011213215	-0.09807612
-0.011213215	-0.08807612
-0.018284284	-0.08100506
-0.018284284	-0.071005054
-0.025355352	-0.06393399
-0.025355352	-0.05393399
-0.025355352	-0.043933988
-0.025355354	-0.03393399
-0.03242642	-0.026862923
-0.03242642	-0.016862923
-0.03242642	-0.0068629226
-0.03949749	2.081444E-4
-0.03949749	0.010208144
-0.046568558	0.017279211
-0.046568558	0.027279211
-0.04656856	0.03727921
-0.053639628	0.044350278
-0.063639626	0.044350278
-0.0707107	0.051421344
-0.0707107	0.061421346
-0.07778177	0.06849241
-0.07778177	0.07849241
-0.0707107	0.08556348
-0.0707107	0.09556348
-0.0707107	0.10556348
-0.07778177	0.11263455
-0.07778177	0.122634545
-0.07778177	0.13263455
-0.08485284	0.13970561
-0.08485284	0.14970562
-0.0919239	0.15677668
-0.09192391	0.16677667
-0.09899497	0.17384775
-0.09899497	0.18384774
-0.10606604	0.19091882
-0.10606604	0.20091881
-0.10606604	0.21091881
-0.10606604	0.22091882
-0.10606604	0.23091881
-0.11313711	0.23798987
-0.11313711	0.24798988
-0.11313711	0.25798988
-0.11313711	0.26798987
-0.10606605	0.27506095
-0.09606604	0.27506095
-0.08899498	0.282132
-0.08192391	0.28920308
-0.07485284	0.29627416
-0.067781776	0.3033452
-0.060710706	0.31041628
-0.05363964	0.31748736
-0.046568573	0.3245584
-0.039497506	0.33162948
-0.029497504	0.33162948
-0.019497504	0.33162948
-0.009497506	0.33162948
-0.0024264378	0.3245584
0.0075735617	0.3245584
0.017573562	0.3245584
0.027573561	0.3245584
0.03757356	0.3245584
0.047573563	0.3245584
0.05757356	0.3245584
0.06757356	0.3245584
0.07757356	0.3245584
0.08757356	0.3245584
0.09757356	0.3245584
0.09050249	0.33162948
0.080502495	0.33162948
0.073431425	0.33870056
0.06343143	0.33870056
0.053431425	0.33870056
0.04636036	0.33162948
0.04636036	0.3216295
0.05343143	0.31455842
0.060502496	0.30748734
0.0705025	0.30748734
0.080502495	0.30748737
0.09050249	0.30748737
0.1005025	0.30748737
0.1105025	0.30748737
0.120502494	0.30748737
0.13050249	0.30748737
0.1405025	0.30748737
0.15050249	0.30748737
0.1605025	0.30748737
0.1705025	0.30748737
0.17757356	0.3004163
0.17757356	0.2904163
0.18464464	0.28334525
0.19464463	0.28334525
0.20171571	0.27627417
0.20878677	0.2692031
0.21585783	0.26213205
0.22292891	0.25506097
0.22999997	0.24798991
0.23707105	0.24091884
0.23707105	0.23091884
0.23707105	0.22091883
0.24414212	0.21384777
0.2512132	0.20677671
0.25828424	0.19970565
0.26535532	0.19263457
0.2724264	0.1855635
0.27949747	0.17849244
0.28656852	0.17142138
0.28656852	0.18142137
0.28656852	0.19142137
0.27949744	0.19849244
0.26949745	0.19849244
0.26242638	0.2055635
0.25535533	0.21263456
0.24828425	0.21970564
0.24121317	0.2267767
0.23121318	0.2267767
0.22121318	0.22677669
