x	y	random
0.01	-0.35	true
0.02	-0.35	true
0.027071066	-0.34292892	true
0.027071066	-0.33292893	true
0.019999998	-0.32585785	true
0.01292893	-0.3187868	true
0.005857862	-0.31171572	true
-0.0041421377	-0.31171572	true
-0.014142137	-0.31171572	true
-0.024142137	-0.31171572	true
-0.034142137	-0.31171572	true
-0.041213203	-0.30464467	true
-0.048284274	-0.2975736	true
-0.05535534	-0.29050252	true
-0.06242641	-0.28343147	true
-0.06242641	-0.27343145	true
-0.06242641	-0.26343146	true
-0.06949748	-0.25636038	true
-0.076568544	-0.24928932	true
-0.08656855	-0.24928933	true
-0.09656855	-0.24928933	true
-0.106568545	-0.24928933	true
-0.11656854	-0.24928933	true
-0.12656854	-0.24928933	true
-0.13656855	-0.24928933	true
-0.14656855	-0.24928933	true
-0.15656854	-0.24928933	true
-0.16656855	-0.24928933	true
-0.17656854	-0.24928933	true
-0.18363962	-0.2563604	true
-0.18363962	-0.2663604	true
-0.17656854	-0.27343148	true
-0.16949748	-0.28050253	true
-0.16949748	-0.29050255	true
-0.16949748	-0.30050254	true
-0.17656854	-0.30757362	true
-0.1836396	-0.31464466	true
-0.19071066	-0.32171574	true
-0.19778174	-0.32878682	true
-0.2048528	-0.33585787	true
-0.2048528	-0.3458579	true
-0.2048528	-0.35585788	true
-0.2048528	-0.36585787	true
-0.21192387	-0.37292895	true
-0.21899493	-0.38000003	true
-0.22606601	-0.38707107	true
-0.23313707	-0.39414215	true
-0.24313706	-0.39414215	true
-0.25313708	-0.39414215	true
-0.26020813	-0.38707107	true
-0.26020813	-0.37707108	true
-0.25313708	-0.37	true
-0.246066	-0.36292896	true
-0.23899493	-0.35585788	true
-0.23192386	-0.3487868	true
-0.23192386	-0.3387868	true
-0.23192386	-0.32878682	true
-0.23192386	-0.3187868	true
-0.23899494	-0.31171575	true
-0.246066	-0.30464467	true
-0.25313708	-0.29757363	true
-0.26020813	-0.29050255	true
-0.26020813	-0.28050256	true
-0.26020813	-0.27050254	true
-0.26020813	-0.26050255	true
-0.2672792	-0.25343147	true
-0.2743503	-0.2463604	true
-0.28435028	-0.2463604	true
-0.29435027	-0.24636042	true
-0.30142134	-0.23928934	true
-0.31142133	-0.23928934	true
-0.32142136	-0.23928934	true
-0.3284924	-0.23221828	true
-0.33556348	-0.22514722	true
-0.34263456	-0.21807614	true
-0.3497056	-0.21100508	true
-0.3497056	-0.20100509	true
-0.3497056	-0.19100508	true
-0.34263456	-0.18393402	true
-0.33556348	-0.17686294	true
-0.33556348	-0.16686295	true
-0.33556348	-0.15686294	true
-0.33556348	-0.14686294	true
-0.33556348	-0.13686295	true
-0.33556348	-0.12686294	true
-0.34263456	-0.11979188	true
-0.3497056	-0.12686294	true
-0.35677668	-0.13393402	true
-0.36384776	-0.14100508	true
-0.3709188	-0.14807615	true
-0.3779899	-0.15514722	true
-0.38506097	-0.16221829	true
-0.392132	-0.16928935	true
-0.3992031	-0.17636043	true
-0.3992031	-0.18636042	true
-0.3992031	-0.19636042	true
-0.40627414	-0.20343149	true
-0.41627416	-0.2034315	true
-0.4233452	-0.19636042	true
-0.4304163	-0.18928936	true
-0.43748736	-0.1822183	true
-0.43748736	-0.1722183	true
-0.43748736	-0.16221829	true
-0.4445584	-0.15514722	true
-0.4516295	-0.14807616	true
-0.45870057	-0.1410051	true
-0.45870057	-0.1310051	true
-0.4516295	-0.12393402	true
-0.4416295	-0.12393402	true
-0.4316295	-0.12393402	true
-0.4216295	-0.12393402	true
-0.4116295	-0.12393402	true
-0.4016295	-0.12393402	true
-0.39455843	-0.1310051	true
-0.38748735	-0.13807616	true
-0.3804163	-0.14514723	true
-0.3804163	-0.15514722	true
-0.3804163	-0.16514723	true
-0.3804163	-0.17514722	true
-0.3804163	-0.18514723	true
-0.38748735	-0.19221829	true
-0.39748737	-0.19221829	true
-0.40748736	-0.19221829	true
-0.41455844	-0.19928937	true
-0.41455844	-0.20928936	true
-0.41455844	-0.21928936	true
-0.4216295	-0.21221828	true
-0.42870057	-0.20514722	true
-0.43577164	-0.19807616	true
-0.4428427	-0.19100508	true
-0.4428427	-0.18100509	true
-0.4428427	-0.17100509	true
-0.4428427	-0.16100508	true
-0.4428427	-0.15100509	true
-0.4428427	-0.14100508	true
-0.4428427	-0.1310051	true
-0.4428427	-0.12100509	true
-0.4357716	-0.11393402	true
-0.42577162	-0.113934025	true
-0.41577163	-0.113934025	true
-0.40870056	-0.121005096	true
-0.39870057	-0.121005096	true
-0.38870054	-0.121005096	true
-0.37870055	-0.121005096	true
-0.37162948	-0.12807617	true
-0.3716295	-0.13807617	true
-0.3716295	-0.14807616	true
-0.36455843	-0.15514724	true
-0.35748735	-0.1622183	true
-0.3504163	-0.16928938	true
-0.34041628	-0.16928938	true
-0.33334523	-0.17636044	true
-0.32627416	-0.18343152	true
-0.3192031	-0.19050258	true
-0.31213203	-0.19757365	true
-0.30506095	-0.20464472	true
-0.30506095	-0.21464472	true
-0.30506098	-0.22464472	true
-0.30506098	-0.23464473	true
-0.31213203	-0.24171579	true
-0.3192031	-0.24878685	true
-0.3262742	-0.2558579	true
-0.33627418	-0.2558579	true
-0.34334525	-0.262929	true
-0.3504163	-0.27000004	true
-0.35041633	-0.28000006	true
-0.35041633	-0.29000005	true
-0.35041633	-0.30000004	true
-0.35041633	-0.31000003	true
-0.35748738	-0.30292898	true
-0.36455846	-0.2958579	true
-0.37162954	-0.28878683	true
-0.37870058	-0.28171578	true
-0.38577166	-0.2746447	true
