x	y	random
0.01	-0.35	true
0.02	-0.35	true
0.03	-0.35	true
0.04	-0.35	true
0.049999997	-0.35	true
0.06	-0.35	true
0.07	-0.35	true
0.08	-0.35	true
0.089999996	-0.35	true
0.09707107	-0.34292892	true
0.10414213	-0.33585787	true
0.1112132	-0.3287868	true
0.11828427	-0.3217157	true
0.12828426	-0.3217157	true
0.13828427	-0.3217157	true
0.14828427	-0.3217157	true
0.15828426	-0.3217157	true
0.16828427	-0.3217157	true
0.17828427	-0.3217157	true
0.1712132	-0.3287868	true
0.16414213	-0.33585787	true
0.15707107	-0.34292892	true
0.14999999	-0.35	true
0.16	-0.35	true
0.16999999	-0.35	true
0.17999999	-0.35	true
0.19	-0.35	true
0.19707106	-0.34292892	true
0.20414212	-0.33585787	true
0.2112132	-0.3287868	true
0.21828426	-0.3217157	true
0.22535533	-0.31464466	true
0.2324264	-0.3075736	true
0.23949747	-0.3005025	true
0.24656853	-0.29343146	true
0.2536396	-0.28636038	true
0.2536396	-0.2763604	true
0.24656853	-0.2692893	true
0.24656853	-0.25928932	true
0.2536396	-0.25221825	true
0.26071066	-0.24514718	true
0.26778173	-0.2380761	true
0.27778172	-0.2380761	true
0.2848528	-0.23100504	true
0.29192388	-0.22393398	true
0.29899493	-0.2168629	true
0.306066	-0.20979184	true
0.31313708	-0.20272078	true
0.32020813	-0.1956497	true
0.3272792	-0.18857864	true
0.3343503	-0.18150757	true
0.3343503	-0.19150756	true
0.3343503	-0.20150757	true
0.3272792	-0.20857863	true
0.32020813	-0.21564971	true
0.31313705	-0.22272077	true
0.306066	-0.22979183	true
0.296066	-0.22979183	true
0.286066	-0.22979183	true
0.276066	-0.22979183	true
0.266066	-0.22979183	true
0.256066	-0.22979183	true
0.246066	-0.22979183	true
0.236066	-0.22979183	true
0.22606601	-0.22979183	true
0.216066	-0.22979183	true
0.206066	-0.22979183	true
0.196066	-0.22979182	true
0.186066	-0.22979182	true
0.176066	-0.22979182	true
0.166066	-0.22979182	true
0.156066	-0.22979182	true
0.14606601	-0.22979182	true
0.136066	-0.22979182	true
0.126066	-0.22979182	true
0.11899494	-0.22272076	true
0.11192387	-0.21564968	true
0.1048528	-0.20857862	true
0.09778174	-0.20150755	true
0.09071067	-0.19443648	true
0.08363961	-0.18736541	true
0.07656854	-0.18029433	true
0.069497466	-0.17322327	true
0.062426403	-0.16615221	true
0.055355337	-0.15908113	true
0.04828427	-0.15201007	true
0.04828427	-0.14201006	true
0.04828427	-0.13201007	true
0.048284274	-0.12201007	true
0.041213207	-0.114939004	true
0.041213207	-0.104939	true
0.041213207	-0.094939	true
0.03414214	-0.08786793	true
0.027071076	-0.08079687	true
0.020000009	-0.0737258	true
0.012928941	-0.06665473	true
0.012928942	-0.05665473	true
0.012928944	-0.046654727	true
0.012928945	-0.03665473	true
0.0058578784	-0.029583659	true
-0.0012131886	-0.02251259	true
-0.008284256	-0.015441523	true
-0.0153553225	-0.008370454	true
-0.025355322	-0.0083704535	true
-0.035355322	-0.008370453	true
-0.04242639	-0.01544152	true
-0.04949746	-0.022512587	true
-0.056568526	-0.029583653	true
-0.056568526	-0.039583653	true
-0.056568526	-0.049583655	true
-0.05656853	-0.059583653	true
-0.05656853	-0.069583654	true
-0.04949746	-0.076654725	true
-0.042426392	-0.08372579	true
-0.035355326	-0.09079686	true
-0.028284257	-0.09786792	true
-0.02121319	-0.10493899	true
-0.014142123	-0.11201006	true
-0.0070710555	-0.119081125	true
1.19392025E-8	-0.1261522	true
0.007071079	-0.13322327	true
0.01707108	-0.13322327	true
0.02707108	-0.13322327	true
0.03707108	-0.13322327	true
0.044142146	-0.1261522	true
0.051213212	-0.119081125	true
0.058284283	-0.11201006	true
0.065355346	-0.10493899	true
0.072426416	-0.09786792	true
0.07949749	-0.09079686	true
0.089497484	-0.09079686	true
0.09949748	-0.09079686	true
0.10656855	-0.09786792	true
0.113639615	-0.10493899	true
0.120710686	-0.11201006	true
0.12778175	-0.119081125	true
0.13778175	-0.119081125	true
0.14778176	-0.119081125	true
0.15778175	-0.119081125	true
0.16778176	-0.119081125	true
0.17778175	-0.119081125	true
0.18778175	-0.119081125	true
0.19778176	-0.119081125	true
0.20778175	-0.119081125	true
0.21778175	-0.119081125	true
0.22778176	-0.119081125	true
0.23778175	-0.119081125	true
0.24778175	-0.119081125	true
0.25485283	-0.11201006	true
0.26192388	-0.10493899	true
0.26899496	-0.09786792	true
0.26899496	-0.08786792	true
0.26899496	-0.077867925	true
0.26899496	-0.06786793	true
0.26192388	-0.060796857	true
0.2548528	-0.05372579	true
0.24778175	-0.046654724	true
0.24071068	-0.039583657	true
0.23071069	-0.039583657	true
0.22071068	-0.039583657	true
0.21071067	-0.03958366	true
0.20071068	-0.03958366	true
0.1936396	-0.032512594	true
0.1936396	-0.022512592	true
0.20071068	-0.015441526	true
0.20778175	-0.008370457	true
0.21778175	-0.008370457	true
0.22778174	-0.008370457	true
0.23778175	-0.008370457	true
0.24485281	-0.0012993896	true
0.2548528	-0.0012993896	true
0.26485282	-0.0012993896	true
0.2748528	-0.0012993896	true
0.2848528	-0.0012993896	true
0.29485282	-0.0012993896	true
0.30192387	0.005771678	true
0.30899495	0.0128427455	true
0.31606603	0.019913813	true
0.32313707	0.026984882	true
0.33020815	0.03405595	true
0.33727923	0.04112702	true
0.34435028	0.048198085	true
0.35142136	0.055269152	true
0.35849243	0.062340222	true
0.35849243	0.07234022	true
0.3584924	0.08234022	true
0.35142136	0.08941129	true
0.34435028	0.09648235	true
