x	y	random
0.01	-0.35	true
0.02	-0.35	true
0.03	-0.35	true
0.04	-0.35	true
0.049999997	-0.35	true
0.06	-0.35	true
0.07	-0.35	true
0.08	-0.35	true
0.089999996	-0.35	true
0.099999994	-0.35	true
0.107071064	-0.34292892	true
0.11707106	-0.34292892	true
0.12707107	-0.34292892	true
0.13707106	-0.34292892	true
0.14414214	-0.33585787	true
0.1512132	-0.3287868	true
0.1612132	-0.3287868	true
0.1712132	-0.3287868	true
0.17828427	-0.3217157	true
0.18535534	-0.31464466	true
0.1924264	-0.3075736	true
0.19949748	-0.3005025	true
0.20656854	-0.29343146	true
0.2136396	-0.28636038	true
0.2136396	-0.2763604	true
0.2136396	-0.26636037	true
0.2136396	-0.25636038	true
0.20656854	-0.24928932	true
0.19949746	-0.24221826	true
0.18949747	-0.24221826	true
0.1824264	-0.24928932	true
0.18242641	-0.25928932	true
0.18242641	-0.2692893	true
0.18242641	-0.2792893	true
0.18242641	-0.28928933	true
0.1924264	-0.28928933	true
0.2024264	-0.28928933	true
0.2024264	-0.29928932	true
0.19535534	-0.3063604	true
0.18828428	-0.31343144	true
0.1812132	-0.32050252	true
0.17414214	-0.3275736	true
0.16707107	-0.33464465	true
0.16000001	-0.34171572	true
0.15292893	-0.3487868	true
0.14585787	-0.35585785	true
0.15585788	-0.35585785	true
0.16585787	-0.35585785	true
0.17585787	-0.35585785	true
0.18585788	-0.35585785	true
0.19292894	-0.34878677	true
0.19292894	-0.33878678	true
0.19292893	-0.3287868	true
0.2	-0.3217157	true
0.21	-0.3217157	true
0.20292893	-0.3287868	true
0.19292893	-0.3287868	true
0.18292893	-0.3287868	true
0.17292893	-0.3287868	true
0.16292894	-0.3287868	true
0.15292893	-0.3287868	true
0.14292893	-0.3287868	true
0.13292894	-0.3287868	true
0.12292893	-0.3287868	true
0.112928934	-0.3287868	true
0.10292894	-0.3287868	true
0.09292893	-0.3287868	true
0.08292893	-0.3287868	true
0.072928935	-0.3287868	true
0.06292894	-0.3287868	true
0.052928936	-0.3287868	true
0.042928934	-0.3287868	true
0.032928936	-0.3287868	true
0.022928935	-0.3287868	true
0.015857868	-0.33585787	true
0.008786801	-0.34292895	true
-0.0012131984	-0.34292895	true
-0.011213198	-0.34292895	true
-0.021213198	-0.34292895	true
-0.031213198	-0.34292895	true
-0.038284265	-0.35	true
-0.04535533	-0.35707107	true
-0.055355333	-0.35707107	true
-0.06535533	-0.35707107	true
-0.0724264	-0.35000002	true
-0.079497464	-0.34292895	true
-0.086568534	-0.33585787	true
-0.093639605	-0.32878682	true
-0.093639605	-0.3187868	true
-0.093639605	-0.3087868	true
-0.093639605	-0.29878682	true
-0.093639605	-0.2887868	true
-0.093639605	-0.2787868	true
-0.093639605	-0.26878682	true
-0.093639605	-0.2587868	true
-0.08656854	-0.25171575	true
-0.07949747	-0.24464467	true
-0.0724264	-0.23757361	true
-0.06535534	-0.23050255	true
-0.058284268	-0.22343147	true
-0.0512132	-0.2163604	true
-0.041213203	-0.2163604	true
-0.031213202	-0.2163604	true
-0.024142135	-0.20928934	true
-0.014142135	-0.20928934	true
-0.007071067	-0.20221826	false
-0.0070710676	-0.19221827	false
-1.4999366E-10	-0.1851472	false
0.0070710676	-0.17807613	false
0.014142135	-0.17100507	false
0.021213202	-0.16393399	false
0.021213202	-0.153934	false
0.021213202	-0.143934	false
0.031213202	-0.143934	false
0.031213202	-0.133934	false
0.024142133	-0.12686293	false
0.014142133	-0.12686293	false
0.0212132	-0.119791865	false
0.028284267	-0.112720795	false
0.035355333	-0.105649725	false
0.0424264	-0.09857866	false
0.049497467	-0.09150759	false
0.03949747	-0.09150759	false
0.046568535	-0.08443652	false
0.036568537	-0.08443653	false
0.026568536	-0.08443653	false
0.033639602	-0.07736546	false
0.023639603	-0.07736546	false
0.030710671	-0.07029439	false
0.037781738	-0.063223325	false
0.027781738	-0.063223325	false
0.034852806	-0.056152254	false
0.024852805	-0.056152254	false
0.017781736	-0.049081188	false
0.024852805	-0.04201012	false
0.03192387	-0.034939054	false
0.03192387	-0.024939053	false
0.021923872	-0.024939055	false
0.028994938	-0.017867986	false
0.036066007	-0.010796918	false
0.043137074	-0.003725849	false
0.05020814	0.0033452192	false
0.04313707	0.010416286	false
0.036066003	0.017487353	false
0.036066003	0.027487352	false
0.04313707	0.03455842	false
0.04313707	0.04455842	false
0.043137066	0.05455842	false
0.043137066	0.06455842	false
0.043137066	0.07455842	false
0.033137064	0.07455842	false
0.033137064	0.08455842	false
0.023137065	0.08455842	false
0.030208131	0.09162948	false
0.023137063	0.09870055	false
0.02313706	0.10870055	false
0.023137059	0.11870055	false
0.023137057	0.12870055	false
0.033137057	0.12870055	false
0.043137055	0.12870055	false
0.050208125	0.121629484	false
0.057279192	0.11455842	false
0.06435026	0.10748735	false
0.071421325	0.11455842	false
0.078492396	0.12162949	false
0.08556346	0.12870055	false
0.09263453	0.13577163	false
0.09970559	0.1428427	false
0.10677666	0.14991376	false
0.113847725	0.15698484	false
0.10384773	0.15698484	false
0.09384773	0.15698484	false
0.08384773	0.15698484	false
0.073847726	0.15698482	false
0.06384773	0.15698482	false
0.05384773	0.15698482	false
0.04384773	0.15698482	false
0.03384773	0.15698482	false
0.02384773	0.15698482	false
